neid	neID	hit	queries	gene	product	genome	contig	locus_tag	start_ext	end_ext	length_ext	starto_ext	endo_ext	lengtho_ext	strands	archMEM	archPF	archIPR	archMEM_ext	archPF_ext	archIPR_ext	length	pfams	tax_id	superkingdom	phylum	class	order	family	genus	species	curated	ARCH	LARCH	char
8	WP_201028613.1:GCF_001587475.1:8	WP_201028613.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001587475.1	NZ_LQYX01000121.1	B4113_RS19275	349948	344329	5620	342	336	7	++++++-	PF14449	PF14449	IPR027797	mobidb-lite|PF14449|cd20688|PF18624|PF14449|cd20686|PF14436|SSF53098	PF14449|PF18624|PF14449|PF14436	IPR027797|IPR041256|IPR027797|IPR029501|IPR012337	68	PF00005|PF00027|PF00072|PF00115|PF00196|PF00313|PF00330|PF00528|PF00575|PF00675|PF00694|PF00773|PF00892|PF00994|PF01381|PF01580|PF01668|PF01814|PF02255|PF02518|PF02681|PF03453|PF03454|PF03840|PF04012|PF04055|PF04405|PF04634|PF04794|PF05193|PF06013|PF06056|PF06463|PF07070|PF07690|PF07730|PF08175|PF08179|PF08206|PF08817|PF08887|PF08906|PF09922|PF10140|PF10661|PF10782|PF10819|PF11236|PF12146|PF12538|PF12679|PF12698|PF12804|PF13186|PF13358|PF13456|PF13545|PF13551|PF13592|PF13612|PF14021|PF14104|PF14112|PF14411|PF14436|PF14449|PF14567|PF15565|PF15636|PF17876|PF18431|PF18593|PF18624|PF20382|PF20591|PF22085|PF23728	1586290	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus sp. B4113_201601	1	IPR027797|IPR041256|IPR027797|IPR029501|IPR012337	5	沶ꅉ沶獞げ
9	WP_369802303.1:GCF_001587475.1:9	WP_369802303.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001587475.1	NZ_LQYX01000121.1	B4113_RS20885	352426	348840	3587	346	340	7	---++++	PF14449	PF14449	IPR027797	Coil|PF11236|mobidb-lite|mobidb-lite|PF14449|mobidb-lite	PF11236|PF14449	IPR021398|IPR027797	100	PF00005|PF00027|PF00072|PF00115|PF00196|PF00313|PF00330|PF00528|PF00575|PF00675|PF00694|PF00773|PF00892|PF00994|PF01381|PF01580|PF01668|PF01814|PF02255|PF02518|PF02681|PF03453|PF03454|PF03840|PF04012|PF04055|PF04405|PF04634|PF04794|PF05193|PF06013|PF06056|PF06463|PF07070|PF07690|PF07730|PF08175|PF08179|PF08206|PF08817|PF08887|PF08906|PF09922|PF10140|PF10661|PF10782|PF10819|PF11236|PF12146|PF12538|PF12679|PF12698|PF12804|PF13186|PF13358|PF13456|PF13545|PF13551|PF13592|PF13612|PF14021|PF14104|PF14112|PF14411|PF14436|PF14449|PF14567|PF15565|PF15636|PF17876|PF18431|PF18593|PF18624|PF20382|PF20591|PF22085|PF23728	1586290	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Geobacillus	Geobacillus sp. B4113_201601	1	IPR021398|IPR027797	2	厷沶
1	WP_061579399.1:GCF_001587505.1:1	WP_061579399.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001587505.1	NZ_LQYS01000041.1	B4119_RS07875	18713	13702	5012	17	11	7	-----+-	G3DSA:1.10.287.850|SSF140453|Coil|PF14449|PF15652	PF14449|PF15652	IPR036689|IPR027797|IPR028900	G3DSA:3.50.30.50|G3DSA:3.50.30.50:FF:000001|SSF102198|PTHR31118|MF_01969|TIGR03035|PF04199|G3DSA:1.10.287.850|SSF140453|Coil|PF14449|PF15652|SSF160631|PF09346|PF13520|G3DSA:1.20.1740.10|G3DSA:1.20.1740.10:FF:000051|PTHR11785|PIRSF006060|PTHR45528|cd18773|PF02743|G3DSA:3.30.450.20|SSF103190|G3DSA:3.30.450.20|cd12912|SSF103190|G3DSA:6.10.340.10|PF00672|SSF158472|SM00304|PS50885|cd06225|G3DSA:1.10.287.130:FF:000040|SSF47384|cd00082|SM00388|PF00512|G3DSA:1.10.287.130|PS50109|SSF55874|G3DSA:3.30.565.10|SM00387|PF02518|cd00075|PR00344|PR00344|PR00344|PR00344	PF04199|PF14449|PF15652|PF09346|PF13520|PF02743|PF00672|PF00512|PF02518	IPR037175|IPR007325|IPR017484|IPR036689|IPR027797|IPR028900|IPR037883|IPR018958|IPR002293|IPR050598|IPR050398|IPR033479|IPR029151|IPR003660|IPR036097|IPR003661|IPR005467|IPR036890|IPR003594|IPR004358	389	PF00005|PF00126|PF00199|PF00246|PF00324|PF00440|PF00512|PF00528|PF00672|PF00701|PF00903|PF01180|PF01425|PF01476|PF01557|PF01580|PF01610|PF01695|PF02219|PF02518|PF02574|PF02637|PF02686|PF02743|PF02934|PF02962|PF03009|PF03241|PF03301|PF03466|PF04055|PF04199|PF04203|PF04738|PF05139|PF05147|PF06013|PF06496|PF06628|PF06725|PF07992|PF08817|PF08887|PF08906|PF09346|PF10140|PF10661|PF11794|PF12538|PF12698|PF13416|PF13468|PF13520|PF13542|PF14028|PF14449|PF14690|PF14691|PF14697|PF15636|PF15652|PF18431|PF18593|PF20591|PF21313|PF22483|PF22580|PF24172	81408	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Saccharococcus	Saccharococcus caldoxylosilyticus	28	IPR037175|IPR007325|IPR017484|IPR036689|IPR027797|IPR028900|IPR037883|IPR018958|IPR002293|IPR050598|IPR050398|IPR033479|IPR029151|IPR003660|IPR036097|IPR003661|IPR005467|IPR036890|IPR003594|IPR004358	20	酘Ჾ䑭轲沶焅鐜䨯ख엇쓿苨爀๭财๮ᕼ逻หᄧ
3	WP_061580117.1:GCF_001587505.1:3	WP_061580117.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001587505.1	NZ_LQYS01000114.1	B4119_RS21945	84338	78507	5832	113	107	7	------+	G3DSA:1.10.287.1060|SSF140453|Coil|PF14449	PF14449	IPR036689|IPR027797	G3DSA:2.40.260.10|PF04203|SSF63817|Coil|G3DSA:1.10.287.1060|SSF140453|Coil|PF14449|PF24172|cd20693|PF01610|PF13542|PF14690|PTHR33498|NF033550	PF04203|PF14449|PF24172|PF01610|PF13542|PF14690	IPR023365|IPR005754|IPR036689|IPR027797|IPR049585|IPR002560|IPR032877|IPR029261|IPR047951	378	PF00005|PF00126|PF00199|PF00246|PF00324|PF00440|PF00512|PF00528|PF00672|PF00701|PF00903|PF01180|PF01425|PF01476|PF01557|PF01580|PF01610|PF01695|PF02219|PF02518|PF02574|PF02637|PF02686|PF02743|PF02934|PF02962|PF03009|PF03241|PF03301|PF03466|PF04055|PF04199|PF04203|PF04738|PF05139|PF05147|PF06013|PF06496|PF06628|PF06725|PF07992|PF08817|PF08887|PF08906|PF09346|PF10140|PF10661|PF11794|PF12538|PF12698|PF13416|PF13468|PF13520|PF13542|PF14028|PF14449|PF14690|PF14691|PF14697|PF15636|PF15652|PF18431|PF18593|PF20591|PF21313|PF22483|PF22580|PF24172	81408	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Saccharococcus	Saccharococcus caldoxylosilyticus	1	IPR023365|IPR005754|IPR036689|IPR027797|IPR049585|IPR002560|IPR032877|IPR029261|IPR047951	9	学᚛轲沶쇒ਡ肎牮뭰
4	WP_235605624.1:GCF_001587505.1:4	WP_235605624.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001587505.1	NZ_LQYS01000114.1	B4119_RS14955	87586	82794	4793	118	112	7	-------	PF14449	PF14449	IPR027797	TIGR03929|PTHR30294|PF12698|G3DSA:3.40.1710.10|Coil|Coil|Coil|mobidb-lite|mobidb-lite|Coil|Coil|Coil|Coil|PF10661|TIGR03927|Coil|PF14449|G3DSA:2.40.260.10|PF04203|SSF63817	PF12698|PF10661|PF14449|PF04203	IPR023838|IPR051449|IPR013525|IPR034026|IPR018920|IPR027797|IPR023365|IPR005754	248	PF00005|PF00126|PF00199|PF00246|PF00324|PF00440|PF00512|PF00528|PF00672|PF00701|PF00903|PF01180|PF01425|PF01476|PF01557|PF01580|PF01610|PF01695|PF02219|PF02518|PF02574|PF02637|PF02686|PF02743|PF02934|PF02962|PF03009|PF03241|PF03301|PF03466|PF04055|PF04199|PF04203|PF04738|PF05139|PF05147|PF06013|PF06496|PF06628|PF06725|PF07992|PF08817|PF08887|PF08906|PF09346|PF10140|PF10661|PF11794|PF12538|PF12698|PF13416|PF13468|PF13520|PF13542|PF14028|PF14449|PF14690|PF14691|PF14697|PF15636|PF15652|PF18431|PF18593|PF20591|PF21313|PF22483|PF22580|PF24172	81408	Bacteria	Bacillota	Bacilli	Bacillales	Anoxybacillaceae	Saccharococcus	Saccharococcus caldoxylosilyticus	1	IPR023838|IPR051449|IPR013525|IPR034026|IPR018920|IPR027797|IPR023365|IPR005754	8	崿줚㓶蔋䨉沶学᚛
1	WP_161939322.1:GCF_001590825.1:1	WP_161939322.1	PF14449.11	NA	SMI1/KNR4 family protein	GCF_001590825.1	NZ_LTAP01000039.1	AZF06_RS26580	14936	11005	3932	16	10	7	+++++++	G3DSA:3.40.1580.10|SSF160631|PF14568	PF14568	IPR037883	PF24715|G3DSA:3.40.1580.20|cd16323|PF07348|SSF160631|G3DSA:3.40.1580.10|SSF160631|PF14568|G3DSA:1.25.40.20|SSF48403|PF12796|PTHR24189|SM00248|PR01415|PS50297|SM00248|PS50088|PR01415|SM00248|PS50088|PF05076|SSF140453|G3DSA:1.10.287.1060|PF14449|Coil|SSF140453	PF24715|PF07348|PF14568|PF12796|PF05076|PF14449	IPR038228|IPR009948|IPR037883|IPR037883|IPR036770|IPR002110|IPR050745|IPR020941|IPR036689|IPR027797|IPR036689	45	PF00669|PF00700|PF00916|PF01757|PF05076|PF07348|PF09346|PF11188|PF12708|PF12796|PF13443|PF14449|PF14568|PF16363|PF22481|PF24715	135735	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Priestia	Priestia endophytica	0	IPR038228|IPR009948|IPR037883|IPR036770|IPR002110|IPR050745|IPR020941|IPR036689|IPR027797|IPR036689	11	镵⛽鐜迃࡟왚凮轲沶轲
1	WP_066224961.1:GCF_001591625.1:1	WP_066224961.1	PF14449.11	NA	T7SS effector LXG polymorphic toxin	GCF_001591625.1	NZ_BCVG01000003.1	BFA01S_RS01455	64748	59475	5274	62	56	7	-------	PS51756|PF04740|PTHR34976|Coil|Coil|Coil|PF14449|mobidb-lite|mobidb-lite|PF12639	PF04740|PF14449|PF12639	IPR006829|IPR051768|IPR027797	G3DSA:3.30.390.10|G3DSA:3.30.390.10:FF:000001|PIRSF001400|MF_00318|SSF54826|PF03952|SM01193|SFLDF00002|SFLDG00178|PTHR11902|TIGR01060|cd03313|PR00148|PR00148|G3DSA:3.20.20.120:FF:000001|G3DSA:3.20.20.120|SM01192|SSF51604|PF00113|PR00148|PR00148|PS00164|PR00148|PR00148|Coil|PF17279|Coil|PS51756|PF04740|PTHR34976|Coil|Coil|Coil|PF14449|mobidb-lite|mobidb-lite|PF12639|PF22481	PF03952|PF00113|PF17279|PF04740|PF14449|PF12639|PF22481	IPR000941|IPR029017|IPR020811|IPR036849|IPR020810|IPR020809|IPR046318|IPR006829|IPR051768|IPR027797|IPR054254	711	PF00044|PF00113|PF00121|PF00162|PF00309|PF00574|PF01676|PF02800|PF03952|PF04198|PF04552|PF04634|PF04740|PF04963|PF05768|PF06013|PF06415|PF08817|PF10140|PF12639|PF14424|PF14425|PF14433|PF14449|PF17279|PF21715|PF22481	1348628	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Metabacillus	Metabacillus fastidiosus	19	IPR000941|IPR029017|IPR020811|IPR036849|IPR020810|IPR020809|IPR046318|IPR006829|IPR051768|IPR027797|IPR054254	11	ώ煺公递八兪딏ᫎ쩙沶퐏
1	WP_063235991.1:GCF_001591785.1:1	WP_063235991.1	PF14449.11	NA	hypothetical protein	GCF_001591785.1	NZ_BCVO01000035.1	BSI01S_RS22605	12997	10321	2677	16	10	7	--+----	NA	NA	NA	G3DSA:3.40.710.10|SSF56601|PTHR46825|PF00144|Coil|Coil|Coil|PF17279|Coil|PS51756|PTHR34976|PF04740|Coil|Coil|PF14449	PF00144|PF17279|PF04740|PF14449	IPR012338|IPR050491|IPR001466|IPR046318|IPR006829|IPR051768|IPR027797	NA	PF00144|PF00293|PF00378|PF00857|PF01039|PF01497|PF02540|PF04095|PF04634|PF04740|PF13930|PF14425|PF14434|PF14449|PF17279|PF17767|PF17956|PF19368	1349754	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Peribacillus	Peribacillus simplex	0	IPR012338|IPR050491|IPR001466|IPR046318|IPR006829|IPR051768|IPR027797	7	こ앜כ딏ᫎ쩙沶
1	WP_061669131.1:GCF_001591925.1:1	WP_061669131.1	PF14449.11	NA	ribonuclease YeeF family protein	GCF_001591925.1	NZ_BCVV01000001.1	BAT01S_RS00815	166897	162830	4068	166	160	7	+----+-	PS51756|PF04740|PTHR34976|Coil|Coil|PF14449	PF04740|PF14449	IPR006829|IPR051768|IPR027797	Coil|PF16888|PF17279|Coil|PS51756|PF04740|PTHR34976|Coil|Coil|PF14449|SSF46689|G3DSA:1.10.10.60|PF12833|PTHR43280|SM00342|G3DSA:1.10.10.60|PS01124|PF16375	PF16888|PF17279|PF04740|PF14449|PF12833|PF16375	IPR031681|IPR046318|IPR006829|IPR051768|IPR027797|IPR009057|IPR018060|IPR032275	621	PF00176|PF00271|PF00359|PF00580|PF00756|PF00834|PF00874|PF00984|PF01037|PF01053|PF01476|PF02302|PF02417|PF02706|PF03611|PF03720|PF03721|PF04434|PF04740|PF05684|PF07098|PF07552|PF08279|PF08282|PF09680|PF10612|PF12419|PF12833|PF13361|PF13404|PF13563|PF13614|PF13673|PF13789|PF13807|PF14069|PF14153|PF14449|PF14659|PF16375|PF16888|PF17279|PF19567	1220587	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus	19	IPR031681|IPR046318|IPR006829|IPR051768|IPR027797|IPR009057|IPR018060|IPR032275	8	篢딏ᫎ쩙沶⎂䚭縴
2	WP_219996602.1:GCF_001591925.1:2	WP_219996602.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001591925.1	NZ_BCVV01000003.1	BAT01S_RS22030	425601	420218	5384	445	439	7	-+---++	G3DSA:1.10.287.950|Coil|SSF58104|Coil|G3DSA:1.20.5.300|Coil|PF14449	PF14449	IPR027797	PF14069|PF13361|G3DSA:1.10.486.10|PS51217|cd18807|G3DSA:3.40.50.300|PF13361|G3DSA:1.10.10.160|cd17932|G3DSA:3.40.50.300|PF00580|SSF52540|PS51198|PTHR11070|Coil|G3DSA:1.10.287.950|Coil|SSF58104|Coil|G3DSA:1.20.5.300|Coil|PF14449|cd04301|PTHR13355|PF13673|SSF55729|PS51186|G3DSA:3.40.630.30|PF13563|PTHR40037|SSF55144|G3DSA:3.90.1140.10|NF010223|MF_01444	PF14069|PF13361|PF13361|PF00580|PF14449|PF13673|PF13563	IPR025942|IPR014017|IPR013986|IPR027417|IPR014016|IPR000212|IPR027797|IPR039143|IPR016181|IPR000182|IPR050580|IPR022932|IPR009097	495	PF00176|PF00271|PF00359|PF00580|PF00756|PF00834|PF00874|PF00984|PF01037|PF01053|PF01476|PF02302|PF02417|PF02706|PF03611|PF03720|PF03721|PF04434|PF04740|PF05684|PF07098|PF07552|PF08279|PF08282|PF09680|PF10612|PF12419|PF12833|PF13361|PF13404|PF13563|PF13614|PF13673|PF13789|PF13807|PF14069|PF14153|PF14449|PF14659|PF16375|PF16888|PF17279|PF19567	1220587	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus atrophaeus	1	IPR025942|IPR014017|IPR013986|IPR027417|IPR014016|IPR000212|IPR027797|IPR039143|IPR016181|IPR000182|IPR050580|IPR022932|IPR009097	13	敷㛢㛃欺㛡õ沶餈㽖×억妵⎪
1	WP_081978077.1:GCF_001591965.1:1	WP_081978077.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001591965.1	NZ_BCVX01000001.1	BOD01S_RS22385	176474	172774	3701	184	178	7	-------	PF14449|mobidb-lite	PF14449	IPR027797	PF15574|PF14449|mobidb-lite|mobidb-lite|mobidb-lite|PF14449|mobidb-lite|PF13930|G3DSA:3.40.570.10|G3DSA:3.30.500.20|PF04634|Coil|mobidb-lite	PF15574|PF14449|PF14449|PF13930|PF04634	IPR029075|IPR027797|IPR027797|IPR044927|IPR044929|IPR006728	85	PF00171|PF00239|PF00579|PF00805|PF01548|PF02371|PF04634|PF04740|PF05076|PF05139|PF05610|PF05975|PF07508|PF09000|PF09346|PF13443|PF13599|PF13930|PF14424|PF14434|PF14436|PF14449|PF14567|PF14568|PF15574|PF15652|PF16277|PF16804|PF18451|PF18593|PF18624|PF21814|PF22116|PF22481	1220589	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	1	IPR029075|IPR027797|IPR044927|IPR044929|IPR006728	6	熴沶꾠꾢ᩩ
2	WP_156475388.1:GCF_001591965.1:2	WP_156475388.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001591965.1	NZ_BCVX01000001.1	BOD01S_RS00920	177453	174301	3153	186	180	7	-------	PF14449|mobidb-lite|mobidb-lite|mobidb-lite	PF14449	IPR027797	PF14449|mobidb-lite|mobidb-lite|mobidb-lite|PF15574|PF14449|mobidb-lite|mobidb-lite|mobidb-lite|PF14449|mobidb-lite|PF13930|G3DSA:3.40.570.10	PF14449|PF15574|PF14449|PF14449|PF13930	IPR027797|IPR029075|IPR027797|IPR027797|IPR044927|IPR044929	265	PF00171|PF00239|PF00579|PF00805|PF01548|PF02371|PF04634|PF04740|PF05076|PF05139|PF05610|PF05975|PF07508|PF09000|PF09346|PF13443|PF13599|PF13930|PF14424|PF14434|PF14436|PF14449|PF14567|PF14568|PF15574|PF15652|PF16277|PF16804|PF18451|PF18593|PF18624|PF21814|PF22116|PF22481	1220589	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	1	IPR027797|IPR029075|IPR027797|IPR044927|IPR044929	6	沶熴沶꾠꾢
3	WP_063180262.1:GCF_001591965.1:3	WP_063180262.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001591965.1	NZ_BCVX01000001.1	BOD01S_RS00935	179333	176293	3041	189	183	7	-------	PF14449|mobidb-lite|mobidb-lite|mobidb-lite	PF14449	IPR027797	SSF160631|G3DSA:3.40.1580.10|PF09346|G3DSA:3.40.1580.10|PF14568|SSF160631|Coil|PF14449|mobidb-lite|mobidb-lite|mobidb-lite|PF15574|PF14449|mobidb-lite|mobidb-lite|mobidb-lite	PF09346|PF14568|PF14449|PF15574|PF14449	IPR037883|IPR018958|IPR037883|IPR027797|IPR029075|IPR027797	293	PF00171|PF00239|PF00579|PF00805|PF01548|PF02371|PF04634|PF04740|PF05076|PF05139|PF05610|PF05975|PF07508|PF09000|PF09346|PF13443|PF13599|PF13930|PF14424|PF14434|PF14436|PF14449|PF14567|PF14568|PF15574|PF15652|PF16277|PF16804|PF18451|PF18593|PF18624|PF21814|PF22116|PF22481	1220589	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	1	IPR037883|IPR018958|IPR037883|IPR027797|IPR029075|IPR027797	6	鐜䨯鐜沶熴沶
4	WP_322786780.1:GCF_001591965.1:4	WP_322786780.1	PF14449.11	NA	deaminase domain-containing protein	GCF_001591965.1	NZ_BCVX01000001.1	BOD01S_RS00980	188755	182852	5904	200	194	7	------+	PF14449|mobidb-lite|mobidb-lite|mobidb-lite|PF14424	PF14449|PF14424	IPR027797|IPR032721	PF14434|PF14449|mobidb-lite|mobidb-lite|mobidb-lite|PF14424|PS50943|PF13443|SM00530|SSF47413|G3DSA:1.10.260.40	PF14434|PF14449|PF14424|PF13443	IPR025674|IPR027797|IPR032721|IPR001387|IPR010982	297	PF00171|PF00239|PF00579|PF00805|PF01548|PF02371|PF04634|PF04740|PF05076|PF05139|PF05610|PF05975|PF07508|PF09000|PF09346|PF13443|PF13599|PF13930|PF14424|PF14434|PF14436|PF14449|PF14567|PF14568|PF15574|PF15652|PF16277|PF16804|PF18451|PF18593|PF18624|PF21814|PF22116|PF22481	1220589	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	28	IPR025674|IPR027797|IPR032721|IPR001387|IPR010982	5	摫沶翲֌⬇
5	WP_081977915.1:GCF_001591965.1:5	WP_081977915.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001591965.1	NZ_BCVX01000006.1	BOD01S_RS23990	249330	245864	3467	271	265	7	-------	PF14449	PF14449	IPR027797	PF14449|G3DSA:2.160.20.80|SSF141571|PTHR42999|PF00805	PF14449|PF00805	IPR027797|IPR052949|IPR001646	50	PF00171|PF00239|PF00579|PF00805|PF01548|PF02371|PF04634|PF04740|PF05076|PF05139|PF05610|PF05975|PF07508|PF09000|PF09346|PF13443|PF13599|PF13930|PF14424|PF14434|PF14436|PF14449|PF14567|PF14568|PF15574|PF15652|PF16277|PF16804|PF18451|PF18593|PF18624|PF21814|PF22116|PF22481	1220589	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	1	IPR027797|IPR052949|IPR001646	3	沶컶ڏ
6	WP_036150091.1:GCF_001591965.1:6	WP_036150091.1	PF14449.11	NA	hypothetical protein	GCF_001591965.1	NZ_BCVX01000006.1	BOD01S_RS12170	276262	271332	4931	307	301	7	-------	NA	NA	NA	mobidb-lite|mobidb-lite|Coil|cd20745|Coil|mobidb-lite|mobidb-lite|mobidb-lite|mobidb-lite|G3DSA:3.40.1350.120|mobidb-lite|cd13442|PF18451|G3DSA:2.160.20.80|PTHR14136|SSF141571|PF13599|PF00805|mobidb-lite|mobidb-lite|mobidb-lite	PF18451|PF13599|PF00805	IPR033806|IPR040559|IPR051082|IPR001646	NA	PF00171|PF00239|PF00579|PF00805|PF01548|PF02371|PF04634|PF04740|PF05076|PF05139|PF05610|PF05975|PF07508|PF09000|PF09346|PF13443|PF13599|PF13930|PF14424|PF14434|PF14436|PF14449|PF14567|PF14568|PF15574|PF15652|PF16277|PF16804|PF18451|PF18593|PF18624|PF21814|PF22116|PF22481	1220589	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Lysinibacillus	Lysinibacillus odysseyi	0	IPR033806|IPR040559|IPR051082|IPR001646	4	萯麐잫ڏ
2	WP_162148096.1:GCF_001592005.1:2	WP_162148096.1	PF14449.11	NA	hypothetical protein	GCF_001592005.1	NZ_BCVZ01000012.1	BTR1S_RS22575	108150	103841	4310	100	94	7	+-+++-+	NA	NA	NA	mobidb-lite|mobidb-lite|mobidb-lite|PF09346|SM00860|SSF160631|G3DSA:3.40.1580.10|G3DSA:3.50.50.60|SSF51905|PF01266|PF15652|PF17356	PF09346|PF01266|PF15652|PF17356	IPR018958|IPR037883|IPR036188|IPR006076|IPR028900|IPR035530	NA	PF00027|PF00106|PF00155|PF00180|PF00185|PF00196|PF00205|PF00208|PF00232|PF00392|PF00589|PF00682|PF00696|PF00884|PF01047|PF01063|PF01066|PF01138|PF01177|PF01266|PF01316|PF01450|PF01522|PF01725|PF02274|PF02378|PF02588|PF02729|PF02775|PF02776|PF02812|PF02863|PF03009|PF03390|PF03725|PF04740|PF05105|PF05901|PF07602|PF07719|PF07991|PF08502|PF09346|PF10035|PF10369|PF10646|PF12850|PF12900|PF13085|PF13183|PF13279|PF13304|PF13443|PF13520|PF13545|PF14449|PF14491|PF15652|PF16888|PF16929|PF17353|PF17356|PF18431|PF18801|PF22617|PF22629	1220591	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis	0	IPR018958|IPR037883|IPR036188|IPR006076|IPR028900|IPR035530	6	䨯鐜赽៝焅諫
4	WP_236835518.1:GCF_001592005.1:4	WP_236835518.1	PF14449.11	NA	pre-toxin TG domain-containing protein	GCF_001592005.1	NZ_BCVZ01000022.1	BTR1S_RS23525	36201	33558	2644	34	28	7	--+--++	PF14449	PF14449	IPR027797	G3DSA:3.90.950.10|SSF52972|NF011397|G3DSA:3.90.950.10:FF:000001|PTHR11067|MF_01405|TIGR00042|cd00515|PF01725|Coil|PF12850|TIGR00040|SSF56300|G3DSA:3.60.21.10|cd00841|PTHR11124|SSF56349|PF00589|PTHR30349|PS51898|G3DSA:1.10.443.10|PF14449|PF05105|TIGR01593|cd20684|PF18431|PF14449|Coil|Coil|PF04740|PS51756	PF01725|PF12850|PF00589|PF14449|PF05105|PF18431|PF14449|PF04740	IPR029001|IPR002637|IPR020922|IPR000979|IPR024654|IPR029052|IPR041802|IPR050090|IPR011010|IPR013762|IPR002104|IPR027797|IPR006480|IPR041436|IPR027797|IPR006829	29	PF00027|PF00106|PF00155|PF00180|PF00185|PF00196|PF00205|PF00208|PF00232|PF00392|PF00589|PF00682|PF00696|PF00884|PF01047|PF01063|PF01066|PF01138|PF01177|PF01266|PF01316|PF01450|PF01522|PF01725|PF02274|PF02378|PF02588|PF02729|PF02775|PF02776|PF02812|PF02863|PF03009|PF03390|PF03725|PF04740|PF05105|PF05901|PF07602|PF07719|PF07991|PF08502|PF09346|PF10035|PF10369|PF10646|PF12850|PF12900|PF13085|PF13183|PF13279|PF13304|PF13443|PF13520|PF13545|PF14449|PF14491|PF15652|PF16888|PF16929|PF17353|PF17356|PF18431|PF18801|PF22617|PF22629	1220591	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus sonorensis	1	IPR029001|IPR002637|IPR020922|IPR000979|IPR024654|IPR029052|IPR041802|IPR050090|IPR011010|IPR013762|IPR002104|IPR027797|IPR006480|IPR041436|IPR027797|IPR006829	16	煪੮凛ϴ息熝ꍫ쏋⬣㗣࡙沶ᥱꇽ沶ᫎ
